,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-12-09,303.5,305.660004,293.459991,295.320007,294.660126,2644900.0,2644900.0,-8.17999,-2.695,298.14667,"December 09, 20",-0.02695
2020-12-08,298.0,303.649994,297.720001,301.450012,300.776428,2889100.0,2889100.0,3.45001,1.158,300.94,"December 08, 20",0.01158
2020-12-07,296.899994,297.040009,293.200012,297.040009,296.376282,1483400.0,1483400.0,0.14002,0.047,295.76001,"December 07, 20",0.00047
2020-12-04,294.359985,298.980011,293.119995,294.880005,294.2211,1847700.0,1847700.0,0.52002,0.177,295.66,"December 04, 20",0.00177
2020-12-03,291.720001,296.339996,289.779999,292.700012,292.04599,1955800.0,1955800.0,0.98001,0.336,292.94,"December 03, 20",0.00336
2020-12-02,287.220001,293.839996,285.029999,291.720001,291.068176,2518000.0,2518000.0,4.5,1.567,290.19667,"December 02, 20",0.01567
2020-12-01,293.559998,297.660004,287.600006,287.76001,287.117035,3053800.0,3053800.0,-5.79999,-1.976,291.00667,"December 01, 20",-0.01976
2020-11-30,287.98999,290.899994,280.540009,286.579987,285.939636,3189000.0,3189000.0,-1.41,-0.49,286.00666,"November 30, 20",-0.0049
2020-11-27,290.799988,291.200012,285.350006,287.410004,286.767792,1248000.0,1248000.0,-3.38998,-1.166,287.98667,"November 27, 20",-0.01166
2020-11-25,291.809998,292.779999,286.559998,288.299988,287.655792,2299600.0,2299600.0,-3.51001,-1.203,289.21333,"November 25, 20",-0.01203
2020-11-24,289.589996,296.079987,285.299988,291.679993,291.028259,3711400.0,3711400.0,2.09,0.722,291.01999,"November 24, 20",0.00722
2020-11-23,280.209991,286.399994,280.200012,286.350006,285.710175,2431600.0,2431600.0,6.14002,2.191,284.31667,"November 23, 20",0.02191
2020-11-20,280.970001,281.660004,276.690002,276.690002,276.071747,1885500.0,1885500.0,-4.28,-1.523,278.34667,"November 20, 20",-0.01523
2020-11-19,283.769989,285.0,276.880005,279.850006,279.224701,2375000.0,2375000.0,-3.91998,-1.381,280.57667,"November 19, 20",-0.01381
2020-11-18,285.700012,289.76001,282.48999,282.5,281.868774,2874800.0,2874800.0,-3.20001,-1.12,284.91667,"November 18, 20",-0.0112
2020-11-17,281.869995,286.200012,276.899994,285.049988,284.413055,2816700.0,2816700.0,3.17999,1.128,282.71666,"November 17, 20",0.01128
2020-11-16,273.519989,280.880005,270.420013,279.829987,279.204712,2474800.0,2474800.0,6.31,2.307,277.04334,"November 16, 20",0.02307
2020-11-13,267.98999,273.720001,267.98999,271.910004,271.302429,1593700.0,1593700.0,3.92001,1.463,271.20667,"November 13, 20",0.01463
2020-11-12,269.230011,270.890015,263.98999,267.160004,266.563049,1924000.0,1924000.0,-2.07001,-0.769,267.34667,"November 12, 20",-0.00769
2020-11-11,271.170013,271.309998,266.0,267.809998,267.211578,1937700.0,1937700.0,-3.36001,-1.239,268.37333,"November 11, 20",-0.01239
2020-11-10,264.380005,268.769989,258.0,267.269989,266.672791,2874000.0,2874000.0,2.88998,1.093,264.67999,"November 10, 20",0.01093
2020-11-09,274.23999,274.5,256.350006,263.880005,263.290375,5907200.0,5907200.0,-10.35998,-3.778,264.91,"November 09, 20",-0.03778
2020-11-06,278.519989,284.299988,277.119995,279.769989,279.144867,1894800.0,1894800.0,1.25,0.449,280.39666,"November 06, 20",0.00449
2020-11-05,273.0,282.269989,273.0,279.070007,278.446442,2234600.0,2234600.0,6.07001,2.223,278.11333,"November 05, 20",0.02223
2020-11-04,276.709991,278.799988,268.529999,269.100006,268.498718,2810600.0,2810600.0,-7.60998,-2.75,272.14333,"November 04, 20",-0.0275
2020-11-03,271.950012,276.920013,268.119995,274.480011,273.866699,2630800.0,2630800.0,2.53,0.93,273.17334,"November 03, 20",0.0093
2020-11-02,262.700012,267.48999,259.01001,266.980011,266.383453,2042900.0,2042900.0,4.28,1.629,264.49334,"November 02, 20",0.01629
2020-10-30,264.600006,265.98999,255.559998,259.470001,258.890228,2706900.0,2706900.0,-5.13,-1.939,260.34,"October 30, 20",-0.01939
2020-10-29,260.209991,269.73999,260.059998,267.019989,266.42334,2680700.0,2680700.0,6.81,2.617,265.60666,"October 29, 20",0.02617
2020-10-28,262.730011,266.920013,258.0,259.98999,259.409058,4039200.0,4039200.0,-2.74002,-1.043,261.63667,"October 28, 20",-0.01043
2020-10-27,279.940002,280.350006,274.390015,274.410004,273.796844,1912300.0,1912300.0,-5.53,-1.975,276.38334,"October 27, 20",-0.01975
2020-10-26,279.98999,280.5,273.399994,277.619995,276.999664,2321400.0,2321400.0,-2.36999,-0.846,277.17333,"October 26, 20",-0.00846
2020-10-23,278.290009,283.869995,276.859985,283.559998,282.926392,2498300.0,2498300.0,5.26999,1.894,281.42999,"October 23, 20",0.01894
2020-10-22,283.579987,285.640015,274.019989,275.950012,275.333405,2962900.0,2962900.0,-7.62998,-2.691,278.53667,"October 22, 20",-0.02691
2020-10-21,289.160004,293.299988,282.26001,282.279999,281.649261,3219200.0,3219200.0,-6.88001,-2.379,285.94667,"October 21, 20",-0.02379
2020-10-20,284.0,292.690002,283.109985,287.399994,286.757813,3924900.0,3924900.0,3.39999,1.197,287.73333,"October 20, 20",0.01197
2020-10-19,284.809998,291.220001,279.559998,281.970001,281.339966,3453100.0,3453100.0,-2.84,-0.997,284.25,"October 19, 20",-0.00997
2020-10-16,284.0,287.160004,282.0,283.869995,283.235687,2990300.0,2990300.0,-0.13,-0.046,284.34333,"October 16, 20",-0.00046
2020-10-15,273.089996,282.140015,271.75,282.109985,281.479614,2254700.0,2254700.0,9.01999,3.303,278.66667,"October 15, 20",0.03303
2020-10-14,274.75,278.959991,273.769989,276.23999,275.622742,2080600.0,2080600.0,1.48999,0.542,276.32332,"October 14, 20",0.00542
2020-10-13,272.320007,275.23999,271.850006,272.73999,272.130554,1657100.0,1657100.0,0.41998,0.154,273.27666,"October 13, 20",0.00154
2020-10-12,272.26001,274.209991,271.320007,273.5,272.888885,2063600.0,2063600.0,1.23999,0.455,273.01,"October 12, 20",0.00455
2020-10-09,274.399994,275.0,269.540009,271.549988,270.943207,2172000.0,2172000.0,-2.85001,-1.039,272.03,"October 09, 20",-0.01039
2020-10-08,269.730011,272.519989,266.350006,271.059998,270.454315,1993000.0,1993000.0,1.32999,0.493,269.97666,"October 08, 20",0.00493
2020-10-07,263.850006,270.660004,263.5,268.26001,267.660583,2986500.0,2986500.0,4.41,1.671,267.47334,"October 07, 20",0.01671
2020-10-06,260.119995,264.980011,258.179993,259.269989,258.690674,3152200.0,3152200.0,-0.85001,-0.327,260.81,"October 06, 20",-0.00327
2020-10-05,258.799988,260.959991,257.730011,259.209991,258.630798,2427800.0,2427800.0,0.41,0.158,259.3,"October 05, 20",0.00158
2020-10-02,250.550003,258.549988,250.0,255.199997,254.629761,3015300.0,3015300.0,4.64999,1.856,254.58333,"October 02, 20",0.01856
2020-10-01,255.259995,257.790009,252.880005,254.080002,253.512268,2862300.0,2862300.0,-1.17999,-0.462,254.91667,"October 01, 20",-0.00462
2020-09-30,253.470001,257.51001,249.5,251.520004,250.957993,2503000.0,2503000.0,-1.95,-0.769,252.84334,"September 30, 20",-0.00769
2020-09-29,254.990005,258.200012,249.119995,253.5,252.933563,2195400.0,2195400.0,-1.49,-0.584,253.60667,"September 29, 20",-0.00584
2020-09-28,255.270004,259.950012,254.080002,254.440002,253.87146,3309800.0,3309800.0,-0.83,-0.325,256.15667,"September 28, 20",-0.00325
2020-09-25,241.679993,251.899994,241.470001,250.169998,249.611008,3212400.0,3212400.0,8.49,3.513,247.84666,"September 25, 20",0.03513
2020-09-24,244.009995,247.199997,239.5,244.220001,243.674301,3048300.0,3048300.0,0.21001,0.086,243.64,"September 24, 20",0.00086
2020-09-23,244.990005,250.509995,241.039993,241.419998,240.880554,3083000.0,3083000.0,-3.57001,-1.457,244.32333,"September 23, 20",-0.01457
2020-09-22,239.509995,243.779999,235.630005,243.419998,242.876083,2651700.0,2651700.0,3.91,1.632,240.94333,"September 22, 20",0.01632
2020-09-21,237.949997,239.190002,230.270004,238.740005,238.206558,4109500.0,4109500.0,0.79001,0.332,236.06667,"September 21, 20",0.00332
