,year,month,decision,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
0,2000,06,,1.1361862535999327,0.9045238610790772,0.023506879564555973,191.7318414612089,11.900235868845732,59.17658033873286,52.247979265916484,6.928601072816378,0.6018125695660809,-0.2582888945672616,0.08351208864366018,0.05052603661065496,0.3949853556382028,0.021253460645950233,0.05119719103084211,0.046888607511389714,0.6050146443617972,1.0,0.08351208864366018,0.5848705716462694,1.4088872811683752,0.27070853963791186,0,0.0,0,2.4088872811683752,1.903700487192403,1.7225546569359995,7.5628753070025985,0.6845187432757721,0.4206437328485863,2.6224775860256013,1.2250493290687987,0.237731589998191,0.0,0.15460978339620446,0.4671343372377023,0,0,-1.8766455973465173,0.0,0.0,1.8735324661202577,1.8735324661202577,1.8489719468674872,36.59443864784706,25.60068338132913,11.958958264169445,11.958958264169445,8.402447794027857,1.8489719468674872,0.0,14.202779876349375,1.8735324661202577
1,2000,09,,1.201709828925458,0.974554900221792,0.062247346744253924,197.6805310023404,30.00026875871866,78.74341338943273,126.90567848778429,-48.16226509835155,0.8364902350747143,-0.04612286596288224,0.05738860652691422,0.03529385176331147,0.3850024613028497,0.014344570253566178,0.03399332710142492,0.030741967120460376,0.6149975386971503,1.0,0.05738860652691422,0.5780180559917923,1.3697696410928657,0.2763621693899553,0,0.0,0,2.3697696410928657,1.846413494284264,0.7091881235926196,2.9999731243689025,0.6714470039711561,0.40643255232566,1.0920841922093505,-0.09967312929587628,0.6177369258845855,0.0,0.06532857224169739,-0.09126872269273643,0,0,-0.916364575658754,0.0,0.0,2.0538192092424925,2.0538192092424925,2.132394705095155,60.41830513131506,-357.6370106148036,32.64107314646175,32.64107314646175,13.87264495446461,2.132394705095155,0.0,138.12144175101892,2.0538192092424925
2,2000,12,,1.3412688552712266,1.102591625577738,0.21692469619371246,199.3434745933591,31.142068427138128,80.29525394330886,142.26578667642067,-61.97053273311184,0.8335609502175827,-0.03189203666412594,0.06437856709025537,0.03959287596265598,0.3849991114721637,0.015520248741688569,0.037653830110124485,0.03328095735874698,0.6150008885278363,1.0,0.06437856709025537,0.5878175288862465,1.4261099636234205,0.30230594502022395,0,0.0,0,2.4261099636234205,1.8310105246462856,0.6326187209346568,2.8899814477824246,0.6788925232685673,0.39199599332787227,1.8328709440459896,0.15326701222257585,2.297415742458256,0.0,0.10671857625485684,0.08362127880332096,0,0,-1.0912518774924431,0.0,0.0,2.3442001012103573,2.3442001012103573,2.464918537302032,62.25661756996244,276.21403579343894,23.097370896473638,23.097370896473638,14.251808996677784,2.464918537302032,0.0,91.96669820683634,2.3442001012103573
3,2001,03,,1.2732926559855764,0.9935979071047386,0.04884073746917004,204.19695150430482,30.35110463111928,80.70103787875607,128.4738063088945,-47.772768430138406,0.827354829109817,-0.07066388635151835,0.0327539173097351,0.022462066884627943,0.3142173904813583,0.00803928717220779,0.01880894939742106,0.014875425386914613,0.6857826095186417,1.0,0.0327539173097351,0.5725818065462989,1.3396289987555765,0.31511960798141125,0,0.0,0,2.3396289987555763,1.7874899566867686,0.700531902850372,2.9652956982567984,0.6052898912492668,0.3579050500339097,0.6691264070285872,-0.9146445369188378,0.4892741679391837,0.0,0.039552531836537314,-1.366923390425632,0,0,-0.4224893818046959,0.0,0.0,1.7897804277648188,1.7897804277648188,2.1373957060442508,95.15578940364527,-39.533609550448375,54.03941560246204,54.03941560246204,21.86089111579018,2.1373957060442508,0.0,-735.5573116667316,1.7897804277648188
4,2001,06,,1.0614076065481752,0.8085345633011193,0.037329251494684135,178.7721384676513,27.899411485699293,71.98021275169548,130.06352546774914,-58.083312716053655,0.8302334576280396,-0.07192662788181925,0.035123108046491,0.022127571750241326,0.3699996104857243,0.008487098812204967,0.019188125591059615,0.0178099272820682,0.6300003895142757,1.0,0.035123108046491,0.557690053052426,1.260858040614058,0.2435881674330453,0,0.0,0,2.260858040614058,2.0417051735723715,0.6919695562328626,3.2258744972499622,0.6316750935641795,0.3835531032505818,3.45509733469482,1.347081741265484,0.4117590820021664,0.0,0.1989314003842002,0.3898824289951496,0,0,-1.6390283570312878,0.0,0.0,1.7643262615664652,1.7643262615664652,2.034604983085848,91.94885937105408,26.232706537023464,10.227671343771645,10.227671343771645,21.757138142271188,2.034604983085848,0.0,6.597144969648687,1.7643262615664652
5,2001,09,,1.1407018694653983,0.8553624139061987,0.036077402427025264,181.0144927536232,27.60416666666667,72.23787720865595,119.47916666666669,-47.24128945801073,0.8284693269803455,-0.06730196545562835,0.039706174310105216,0.021639864999007347,0.38,0.008083055246570263,0.018103305098820795,0.019164430816404752,0.545,1.0,0.039706174310105216,0.553503893214683,1.2396611858495266,0.2539957873869409,0,0.0,0,2.239661185849527,2.016413130504404,0.7532693984306887,3.2603773584905666,0.6081864283989374,0.3735261401557286,1.1133944938806497,-0.5838532102057066,0.3733944948989984,0.0,0.06511812586857256,-0.5243902439024389,0,0,-0.6559999999999999,0.0,0.0,1.8197638021783755,1.8197638021783755,2.1752626271423465,100.52108121941284,-63.702313098348846,33.40487150279268,33.40487150279268,23.785515831963878,2.1752626271423465,0.0,-2579.3595705832,1.8197638021783755
6,2001,12,,1.1620503024514486,0.8815663801337154,0.07895574657752308,179.19474196689384,24.311440677966104,68.49644554651529,111.64194915254238,-43.145503606027106,0.8161635832521908,-0.06699123661148977,0.07692307692307693,0.04771178188899708,0.37974683544303794,0.017894967496895772,0.03918119302734687,0.03744075829383886,0.620253164556962,1.0,0.07692307692307693,0.5432766050690234,1.1895090356628821,0.2326665848570377,0,0.0,0,2.1895090356628817,2.0368901229670766,0.8061485909479078,3.7019607843137257,0.6167427336055729,0.3750639105982032,2.463346937166794,1.00073469322401,0.8300408157844631,0.0,0.1433300876338851,0.40625,0,0,-1.6842105263157894,0.0,0.0,1.9358662976371024,1.9358662976371024,2.3573460485150544,49.40804881275429,40.48485605058462,16.44697277055,16.44697277055,11.857157377833369,2.3573460485150544,0.0,-118.56010309590343,1.9358662976371024
7,2002,03,,1.1356314432989691,0.8547036082474226,0.07087628865979381,176.93664076509262,25.74324324324325,69.37145603463595,108.75,-39.378543965364045,0.8230723251643753,-0.08168957959752939,0.0386531181510261,0.023909145248057383,0.38144329896907214,0.008761042564065125,0.01896633475580844,0.01831398093080336,0.6185567010309279,1.0,0.0386531181510261,0.5380740308096663,1.1648490595859018,0.22234513274336284,0,0.0,0,2.164849059585902,2.06288532675709,0.8275862068965517,3.4960629921259843,0.6015100671140939,0.3664306052420238,1.2533333333333334,0.04,0.7333333333333333,0.0,0.07491532177724647,0.031914893617021274,0,0,-1.0329670329670328,0.0,0.0,2.4236984352773825,2.4236984352773825,3.0553377166766293,127.7895,1277.895,40.783882978723405,40.783882978723405,30.792650602409633,3.0553377166766293,0.0,-260.3652307692308,2.4236984352773825
8,2002,06,,1.2457511896668934,0.9592114208021754,0.1125084976206662,167.87573855243718,26.14583333333333,67.53985105859182,118.02083333333331,-50.48098227474151,0.8404726735598228,-0.030465288035450518,0.06850073855243723,0.04357459379615953,0.3638814016172507,0.017086591369823344,0.03605805958747135,0.034130634774609016,0.6361185983827493,1.0,0.06850073855243723,0.5261366927309585,1.110313216195569,0.21569802276812464,0,0.0,0,2.110313216195569,2.174227217984745,0.7625772285966461,3.4422310756972117,0.6523729221874247,0.3921227917752679,2.6432911352253807,1.58999999758481,1.110316454009646,0.0,0.14549483013293946,0.6015228426395939,0,0,-2.5095541401273884,0.0,0.0,2.1709018295512297,2.1709018295512297,2.623440264847268,60.20573082378304,29.975849102136713,18.031157962452788,18.031157962452788,14.416163498684694,2.623440264847268,0.0,7.0208475030957445,2.1709018295512297
9,2002,09,,1.2119921363040629,0.9118610747051114,0.07634338138925295,170.93663911845732,23.716216216216218,65.86497654679474,110.37162162162164,-44.50664507482689,0.8369146005509642,-0.05711662075298439,0.04683195592286502,0.02901744719926538,0.3803921568627451,0.011283296436477895,0.023734414901607333,0.02328554469911424,0.6196078431372549,1.0,0.04683195592286502,0.5246018710276369,1.103500075108908,0.21050759013282733,0,0.0,0,2.103500075108908,2.135294117647059,0.8154269972451791,3.7948717948717943,0.6389345224125792,0.3888452474469756,1.613481010207371,-0.1844936706058324,0.781582277293799,0.0949367088607595,0.08833792470156107,-0.11434511434511435,0,0,-0.8973880597014925,-0.9232245681381958,0.0949367088607595,1.8749426508196485,1.8749426508196485,2.2922852573932784,78.99679257282531,-226.93624048193456,25.949050366957174,25.949050366957174,18.915652414132953,2.2922852573932784,0.0012017792845606932,560.939729060256,1.8749426508196485
