,2020-12,2020-09,2020-06,2020-03,2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-11,1999-08,1999-05,1999-02,1998-11,1998-08,1998-05,1998-02,1997-08,1997-05,1997-02,1996-11,1996-08,1996-05,1996-02,1995-11,1995-08,1995-05,1995-02,1994-11,1994-08,1994-05,1994-02,1993-11,1993-08,1993-05,1993-02,1992-11,1992-08,1992-05,1992-02,1991-11,1991-08,1991-05,1991-02,1990-11,1990-08,1990-05,1990-02,1989-11,1989-08,1989-05
currentRatio,1.7552620718118035,1.6885216614560072,1.583816705336427,1.2146246973365618,1.2513510950981321,1.3102164066431807,1.451902807056474,1.4585133967156438,1.415122156697557,1.3159483656048303,1.3857899657214086,1.4284962643375776,1.56569831044123,1.6331193838254172,1.5948471836322304,1.6024161073825502,1.543742794927629,1.5254214610650254,1.497127872127872,1.723690857046641,1.8739707612166023,1.83145106091718,1.836662749706228,1.9992370780087736,1.780784844384303,1.7950708325247429,1.8228539156626506,1.9487945805937437,2.009988901220866,2.0809342748506245,1.960695652173913,1.9111590507942733,1.8970588235294117,1.8459139114160947,1.6851507257164124,1.5912267080745341,1.5182156133828997,1.5986749648664926,1.6970503891847604,1.5824223874070835,1.5212831585441087,1.549438449680687,1.5681377825618945,1.528591033851784,1.5620296188395242,1.6438497169325785,1.572944297082228,1.5068465154302064,1.2373709940249864,1.2998731654285196,1.349478390461997,1.3944058976582827,1.2934826883910386,1.326517571884984,1.2212601326455417,1.172790294627383,1.1454636759290258,1.3057086964253957,1.1810707107619223,1.2223453779649744,1.1045710707576706,1.1593370165745855,1.1130122517955217,1.0177606177606178,1.0445665445665446,1.1316015457277802,1.0502958579881656,0.7703847511471937,1.2268568353067815,1.2628818265967294,1.1817091454272863,1.0403249202204816,1.232276119402985,1.2119921363040629,1.2457511896668934,1.1356314432989691,1.1620503024514486,1.1407018694653985,1.0614076065481752,1.2732926559855764,1.3412688552712266,1.201709828925458,1.136186253599933,1.1353139794905542,1.1901172758292562,1.1773711725168037,1.127936117944941,1.0750165721440672,1.064514116362502,1.023715698215949,1.0272101928819737,1.0881563817554618,1.1080879612374208,1.0252035672741373,1.200694042799306,1.0983889528193325,1.0850299401197605,1.0679851668726823,0.9859234234234234,1.0011461318051575,0.9959700633275763,1.0505902192242833,1.159075907590759,1.1570576540755466,1.1633311814073597,1.1471354166666667,1.1181818181818182,1.0361077111383108,1.0739411342426417,0.9937888198757764,0.9390977443609022,0.9059945504087193,0.8930330752990852,0.8707581227436824,0.9780453257790368,0.853125,0.8884408602150538,0.9009831460674157,0.9972508591065292,1.0384615384615385,0.972972972972973,1.060483870967742,1.040905134899913,1.0217580504786772,0.9415929203539823,1.0101010101010102
quickRatio,2.424927775484936,1.5598034836980794,1.4484725444702242,1.073995157384988,1.1131127334787143,1.1777554101660794,1.2687229557306114,1.2866248919619707,1.23167649536647,1.1539662710805747,1.2201101069907552,1.205934967904872,1.3884769660872736,1.4774069319640566,1.460974993685274,1.4216107382550336,1.3621109260919688,1.3676746052983677,1.3469030969030968,1.4270079137902003,1.5983868257435725,1.567419575633128,1.5917408091321135,1.7283997711234027,1.5190411753334623,1.5336697069668155,1.5753012048192772,1.6415620641562063,1.7225305216426192,1.826181423139598,1.7323478260869565,1.6320847224946067,1.5987986743993372,1.5643584944894988,1.4043542984741346,1.2956133540372672,1.2514869888475837,1.3216221642240513,1.41519868906186,1.2761259291648448,1.2658852560148057,1.2869412023783309,1.3164693218514532,1.2548032936870996,1.2711823258072348,1.337879567678847,1.2561892130857648,1.2656856734109954,1.022089444142676,1.0751947816633447,1.0987332339791356,1.1389852558542932,1.0496945010183298,1.0800851970181045,1.0152910832719233,0.987001733102253,0.9727150987612989,1.1228881380046238,0.9963456970582861,1.0024384837064952,0.9041953663118347,0.9549171270718232,0.9159273341782848,0.8247104247104247,0.8526658526658527,0.9345212537569773,0.8607354184277262,0.6133074479350512,1.0193756727664156,1.0277692070348659,0.9490254872563718,0.8044676530316217,0.9828980099502488,0.9118610747051114,0.9592114208021754,0.8547036082474226,0.8815663801337154,0.8553624139061987,0.8085345633011193,0.9935979071047386,1.102591625577738,0.974554900221792,0.9045238610790771,0.895139626627119,0.9658491744947244,0.9425690814040328,0.8900198473331784,0.8242247919275245,0.8632662611137109,0.7781041771154259,0.7750045562530516,0.8175546186278267,0.8654491241147969,0.7906165180302442,0.9329091960670908,0.8693901035673187,0.8664670658682635,0.8436341161928307,0.7747747747747747,0.8011461318051576,0.8059873344847438,0.836424957841484,0.9240924092409241,0.9271040424121935,0.9386701097482246,0.9205729166666666,0.8713286713286713,0.8243574051407588,0.8248384781048098,0.7439613526570048,0.7541353383458647,0.7493188010899182,0.733286418015482,0.7061371841155235,0.7924929178470255,0.714375,0.7352150537634409,0.7324438202247191,0.8144329896907216,0.8846153846153846,0.8239382239382239,0.8838709677419355,0.8442123585726719,0.8738033072236727,0.8070796460176991,0.8484848484848485
cashRatio,0.6883202641353694,0.6211701652523448,0.4718677494199536,0.1710411622276029,0.19256660661799563,0.240463009562154,0.25729501830689006,0.31028522039757994,0.22356781802864364,0.24661669789714763,0.33915030642983274,0.29348626749447543,0.33645314209310806,0.4496790757381258,0.5012629451881788,0.42590604026845635,0.3918278468041501,0.39991972170189993,0.4413086913086913,0.47836336083515746,0.6128381784574021,0.6062628336755647,0.6316938056068491,0.6633606713713522,0.4380436883819834,0.4688530952843004,0.5474397590361446,0.6060968320382546,0.7278949315575287,0.9226869455006337,0.8551304347826088,0.6613061384585213,0.5213338856669428,0.570388854231649,0.5290286564942315,0.39596273291925466,0.3524163568773234,0.39329451917285685,0.47685374846374434,0.2971141233056406,0.3859757351429159,0.3763488218454085,0.42023681377825617,0.3543000914913083,0.35566885166302503,0.46037056098816265,0.506631299734748,0.5462906192519926,0.27919608908202065,0.2850154013408226,0.286698956780924,0.2192107545533391,0.1690427698574338,0.23684771033013843,0.2890567428150332,0.30675909878682844,0.3105122196183462,0.47839231726836207,0.35391923990498814,0.24850365772555974,0.16405760801502817,0.23226519337016574,0.21947613012251796,0.20926640926640927,0.19108669108669107,0.2979819665092314,0.22104818258664413,0.08383339216378398,0.27717976318622173,0.21783400185128046,0.16131934032983508,0.053959965187119235,0.16138059701492538,0.07634338138925295,0.11250849762066621,0.07087628865979381,0.07895574657752308,0.03607740242702526,0.037329251494684135,0.04884073746917004,0.21692469619371246,0.062247346744253924,0.023506879564555973,0.04429006001246355,0.1726739382526455,0.1417849141150112,0.1168227604778442,0.05122633866097076,0.2072687568242084,0.06992906785125744,0.08187524319335027,0.05557684936757378,0.08572493477450616,0.06242729740209384,0.0578368999421631,0.06444188722669736,0.09281437125748503,0.057478368355995055,0.05855855855855856,0.0659025787965616,0.11917098445595854,0.20123664980326025,0.17095709570957096,0.16302186878727634,0.2685603615235636,0.255859375,0.16083916083916083,0.2197062423500612,0.16223977027997127,0.1069703243616287,0.07142857142857142,0.1307901907356948,0.12456016889514426,0.05631768953068592,0.11614730878186968,0.104375,0.11559139784946236,0.08286516853932584,0.14432989690721648,0.16964285714285715,0.05250965250965251,0.07903225806451612,0.038294168842471714,0.04612706701479547,0.07699115044247788,0.14416896235078053
daysOfSalesOutstanding,0.0,198.5104290668185,212.42251411452935,194.5956996626065,204.5592819210344,199.37118723603942,186.85573089234572,193.91563786008228,196.03596274685816,186.5669716162327,178.789707750953,191.51125499213362,193.65383436523018,191.03026737268746,176.35013987792473,180.540774821631,185.17681334137032,180.04808020186863,203.94329301178828,162.51066856330016,171.90436039508552,166.96840133561363,172.31591546970446,173.96381017412088,170.9590417957953,171.4100479287915,168.3334741109891,167.85284488098398,172.11304042795754,165.21679970972426,161.002186270223,164.95480690221856,170.9489511119114,161.66604892512973,155.97383720930233,160.14530480878454,166.7615944082365,160.4182111966543,158.45953373768006,169.14726275483804,162.15064368770766,159.59342286137252,161.1683283835384,165.15400528674866,160.12273150302465,155.4064177799975,157.6305399898115,157.89603047806318,157.0135248479765,159.6554663991976,161.26444354348266,164.07014941188936,166.99396889218073,157.08609631481684,157.2319965031144,166.73940875232776,161.76786914631413,154.79929783499122,151.08782670120084,155.11245782831438,159.98640296662546,154.86570650058388,155.98250162022035,158.5529363673525,161.79642759749115,155.15770609318997,156.91734128674904,180.63345430550973,170.04560810810813,168.47634956919288,164.46912521440822,170.28944995491435,170.16587259572967,170.9366391184573,167.8757385524372,176.93664076509265,179.19474196689384,181.0144927536232,178.77213846765127,204.1969515043048,199.3434745933591,197.68053100234036,191.73184146120892,200.9697122015061,189.9980635013995,181.1903935185185,179.28846096813712,186.93514542260394,182.3439133326998,176.74644195674009,173.94498664789933,182.04214751630707,197.51163993792034,173.05478414541784,156.26627051499716,149.177621969033,142.0421686746988,169.5690284879474,183.14792899408283,183.8614055751865,177.51528740317977,166.9838056680162,178.5105015002143,178.39974565493853,169.82070820259975,164.53200883002208,178.5459797785267,169.94344957587182,167.1106150793651,165.22560078469837,170.83505154639175,168.6615776081425,169.28954423592495,173.71760973030143,184.4312169312169,183.34534225424602,184.29901423877328,176.39759665621733,190.9200643776824,190.64977420973406,190.21126760563382,190.31870428422152,195.48293811451708,201.34280742459399,182.83242258652095,167.73816656680646
daysOfInventoryOutstanding,0.0,3.5433541362368874,3.705196487692529,3.5561739130434784,3.6891545687446623,3.8119834710743796,3.6590207322452577,3.610049955921246,3.3383073971434665,3.466381913248398,3.6159791842044844,3.588472974003202,3.790297092288243,3.8992443324937027,3.911389194216623,4.015408059600406,4.024042203580386,4.067796610169491,3.9874944171505136,4.37902483900644,4.628142275998748,4.636824324324325,4.06051820982062,4.758912124823924,4.558416684400936,4.690140845070423,4.563074901445466,4.546746856205577,4.530666080457243,4.602562648826397,4.622387053270398,4.652208113271154,4.5798459993304315,10.520361990950226,6.769230769230769,12.161426844014512,23.14436002337814,20.958217270194986,3.9639185648054824,24.310006540222368,25.513819985825656,24.166666666666668,25.25974025974026,28.171334431630974,30.493934142114384,31.377694470477973,35.43991416309013,30.691244239631335,22.40319606637984,13.60234776228907,7.7802066772655,28.097560975609756,28.870703764320787,25.952782462057336,25.736040609137056,24.230769230769234,25.04280821917808,25.263157894736842,24.574468085106382,22.92894280762565,21.421232876712327,16.984962406015036,19.197952218430036,18.846153846153847,19.726027397260275,19.64221824686941,19.72711267605634,24.30379746835443,22.248322147651006,23.076923076923077,23.212669683257918,22.798672566371682,22.838709677419352,23.716216216216218,26.145833333333332,25.743243243243246,24.311440677966104,27.604166666666668,27.899411485699286,30.35110463111928,31.142068427138135,30.000268758718665,11.900235868845733,65.07116926667581,31.74069772760771,10.87545755621405,-5.02331648122464,12.015232425807582,13.520151988058082,14.823380400619223,-6.4969652105153255,40.2744630071599,0.0,40.898123324396785,36.59058487874465,33.68181818181818,32.56488549618321,12.534504391468005,12.471264367816092,12.591605596269154,11.723446893787575,13.851674641148325,10.699728260869565,10.99092812281926,11.381578947368421,13.204047217537942,12.541630148992112,12.3513986013986,13.170731707317072,13.479452054794521,13.045871559633026,13.398876404494382,13.298379408960916,13.832684824902724,13.618421052631579,13.440453686200378,14.562814070351758,13.99197592778335,13.075471698113207,12.039848197343453,10.625630676084763,10.256673511293634,10.553745928338762,9.941245593419506,9.439024390243901,9.333333333333334
operatingCycle,0.0,52.49113116641131,56.08335065291894,51.53867519971358,54.12842956297232,52.97200224160465,49.73303656871406,51.424864770736065,51.6759420470537,49.469196832319476,47.70111260224768,50.81042625973478,51.540557620701165,51.002597931238554,47.39498532849943,48.53231144027654,49.68407836994567,48.4632136462467,54.27488173512571,44.450148594340725,47.01551881177326,45.80711506461262,46.54937407906282,47.65409819515509,46.712700962816214,46.9556321151834,46.069958928812646,45.93511956658519,46.96949796680294,45.34095161834744,44.32155627058566,45.32599611655793,46.731642163911324,50.38322336974934,45.228533094812164,51.64931022152303,64.26365727472412,60.51339263375358,43.036132363137554,66.01755078114134,65.49617048416452,63.5184695639914,64.99987602554425,68.89423984480187,69.97625149902458,69.69708515595681,74.30771854413953,69.6245120287428,61.118859727524736,52.96944906620081,47.5440420715489,68.5532142552537,70.04729883362563,64.68634045749162,64.50557399346664,65.34459604641168,64.93077595388567,63.432847771857965,61.82900069636138,61.175850217347005,60.869934978072024,55.171027022597364,57.6593909741008,57.9413984298846,59.62103694184713,57.900282762998444,58.41905984265199,68.84355332450751,64.17737620170506,64.6190366693268,63.76670055804351,64.78785200730947,64.79741798869516,65.86497654679474,67.53985105859182,69.37145603463595,68.49644554651528,72.23787720865595,71.98021275169549,80.70103787875608,80.29525394330886,78.74341338943273,59.17658033873286,114.62534487800608,78.58953530329526,55.55254088954739,39.184797182151634,58.10882992727157,58.481664864614196,58.40469485570581,36.393579442391356,85.16156787419453,48.70150025866529,83.56916599039022,75.12199404682615,70.46534140705919,67.58898188172537,54.34604566246873,57.63102768142556,57.92729464220555,55.49433967813327,55.02576370997424,54.716016302018296,54.97990650348903,53.25517823020124,53.773583641379,56.56666625876583,54.2552628803807,54.37608885017422,54.22001115239138,55.16958289983921,54.986662664036366,55.04100675480542,56.6671639364839,59.09461152882206,58.64889424204186,60.006406622378044,57.48727373342598,60.15165195562393,59.049381564127195,57.527039126788985,57.18457319781401,58.75501834013749,59.587417287155006,54.52099160335865,50.69342919912123
daysOfPayablesOutstanding,537.552,19.95153366086841,21.175327479487546,19.990956521739133,21.026900085397095,21.112012987012985,20.048522276135863,20.86688216279753,21.743764655723727,20.321084026806094,20.50432386928905,21.283830144087826,22.379108723135275,22.201511335012594,20.941912572926356,20.625634947511006,22.99230303554441,22.65095338983051,23.66770879857079,18.620055197792087,19.986439970793782,19.46896114864865,16.845443015038956,19.99133167190378,18.846563098531604,19.238353196099677,19.42509855453351,18.72826681246583,18.478786546493733,19.17564349699512,19.005394470667564,17.496347904258904,17.375292936056244,37.171945701357465,24.815384615384616,45.89782345828296,86.58094681472822,78.36768802228413,15.438419673452932,93.59058207979072,99.56768249468462,91.21794871794872,98.83116883116882,110.38714991762768,110.51126516464471,110.58106841611996,132.4892703862661,115.46543778801843,103.88444990780579,67.68158473954513,39.258744038155804,158.34146341463415,169.39443535188215,153.13659359190555,153.50253807106597,142.07357859531774,158.73287671232876,148.0263157894737,152.23404255319147,144.0467937608319,143.24486301369862,115.37593984962406,133.54095563139933,129.6153846153846,131.22431506849315,119.22182468694096,127.94894366197184,138.9873417721519,147.28187919463087,119.16083916083916,118.91402714932127,111.90265486725664,116.80645161290322,110.37162162162163,118.02083333333333,108.75,111.64194915254238,119.47916666666667,130.06352546774914,128.4738063088945,142.2657866764207,126.90567848778429,52.247979265916484,248.20939625795336,128.02276204174777,40.5721631514729,-19.512745769478297,39.26420379935219,44.74555570633736,43.558192991509124,-20.404176757065425,122.97136038186156,147.625,120.64343163538874,106.9472182596291,105.4090909090909,101.95419847328245,39.86198243412798,39.310344827586206,39.09393737508328,36.25250501002004,44.42583732057416,33.38315217391304,33.28681088625262,32.03947368421053,39.38448566610455,38.965819456617005,38.23426573426573,35.1219512195122,45.534246575342465,36.330275229357795,39.353932584269664,36.80648236415634,37.64591439688716,38.317669172932334,36.9187145557656,37.175879396984925,48.20461384152457,39.056603773584904,43.88994307400379,41.412714429868814,41.950718685831625,41.82410423452769,45.687426556991774,46.20731707317073,44.333333333333336
cashConversionCycle,-537.552,32.5395975055429,34.90802317343139,31.547718677974448,33.10152947757523,31.859989254591664,29.6845142925782,30.557982607938534,29.932177391329976,29.14811280551338,27.196788732958634,29.526596115646957,29.16144889756589,28.80108659622596,26.453072755573075,27.90667649276553,26.691775334401257,25.81226025641619,30.60717293655492,25.830093396548637,27.02907884097948,26.338153915963968,29.703931064023866,27.662766523251314,27.86613786428461,27.71727891908372,26.644860374279137,27.206852754119364,28.490711420309207,26.165308121352318,25.316161799918095,27.829648212299027,29.35634922785508,13.211277668391872,20.413148479427548,5.751486763240074,-22.317289540004097,-17.854295388530545,27.59771268968462,-27.573031298649383,-34.071512010520095,-27.699479153957313,-33.83129280562457,-41.49291007282581,-40.53501366562013,-40.88398326016315,-58.18155184212657,-45.840925759275635,-42.76559018028105,-14.71213567334432,8.285298033393097,-89.78824915938044,-99.34713651825652,-88.45025313441393,-88.99696407759933,-76.72898254890606,-93.80210075844309,-84.59346801761573,-90.40504185683008,-82.87094354348488,-82.3749280356266,-60.204912827026696,-75.88156465729853,-71.67398618550001,-71.60327812664602,-61.32154192394252,-69.52988381931985,-70.14378844764438,-83.10450299292582,-54.54180249151236,-55.14732659127776,-47.114802859947176,-52.00903362420806,-44.50664507482689,-50.48098227474151,-39.378543965364045,-43.145503606027106,-47.241289458010726,-58.083312716053655,-47.77276843013841,-61.97053273311184,-48.162265098351554,6.928601072816377,-133.58405137994728,-49.433226738452504,14.980377738074488,58.69754295162993,18.844626127919383,13.736109158276832,14.84650186419669,56.797756199456785,-37.80979250766703,-98.92349974133471,-37.07426564499852,-31.82522421280295,-34.94374950203172,-34.36521659155707,14.484063228340752,18.32068285383935,18.833357267122274,19.241834668113235,10.599926389400082,21.332864128105257,21.693095617236416,21.21570454599071,14.389097975274446,17.600846802148823,16.020997146114965,19.254137630662022,8.685764577048914,18.839307670481418,15.632730079766702,18.234524390649085,19.021249539596745,20.776942355889723,21.730179686276266,22.83052722539312,9.28265989190141,21.09504818203903,15.159438490123406,16.11432469692017,15.233854511982386,16.9309141056098,13.899990730163232,8.313674530187924,6.360095865787898
grossProfitMargin,0.969605602295385,0.22043372496247607,0.19956216153934786,0.1779607708583519,0.188870930501039,0.2050680431722196,0.2361430897961476,0.19976484420928867,0.21044658886894074,0.20367112362186254,0.24529282661430057,0.2062810117390778,0.22417703671918102,0.22141596391449303,0.248028992878942,0.21237580849503235,0.22557095974817493,0.22744322444247425,0.13745280838277216,0.22688477951635846,0.2301453465028507,0.2286016776610473,0.08882284959550933,0.21227381358825537,0.2128318954686322,0.21003081136597057,0.2286510685024073,0.19077957702858153,0.20213978777514688,0.20001814223512338,0.22186270222999563,0.18752853099607414,0.19321148825065274,0.6313936249073387,0.46856831395348836,0.6868610374858009,0.8383867006706338,0.8293888413648892,0.05970432145564822,0.8417675670081756,0.8535091362126246,0.8515385428782912,0.8529910903691132,0.8604758073784623,0.8657515123313169,0.8667748782619553,0.8813041263372389,0.8666584736389332,0.8294191654434891,0.726579739217653,0.48996553821204136,0.8696619688460315,0.8707015130674003,0.8710729427111643,0.8708337886569774,0.8608007448789572,0.8691463141384719,0.8665886483323582,0.86720037673652,0.8558040734724478,0.8556242274412855,0.8274296094459582,0.8480881399870382,0.8405777353862924,0.8407417507499318,0.8397132616487455,0.8386592813520807,0.8436159683272847,0.8489864864864864,0.8491295938104448,0.8483704974271012,0.8369702434625789,0.8358920063525676,0.8369146005509642,0.8404726735598228,0.8230723251643753,0.8161635832521908,0.8284693269803455,0.8302334576280396,0.827354829109817,0.8335609502175827,0.8364902350747143,0.6018125695660809,0.9144603532005019,0.8277912275081705,0.4687962962962963,2.1931656883701725,0.4425629513956666,0.4747933098926162,0.47781887661367367,2.2388996103491654,0.789764174611139,0.8137609932747025,0.8116637212825044,0.8016411997736276,0.8071866783523225,0.802710843373494,0.4178232286340394,0.3826429980276134,0.4106792304672163,0.38972686506318793,0.49190283400809715,0.36862408915559364,0.39253921153030946,0.38682205289108024,0.4763796909492274,0.45064997592681755,0.46088595664467485,0.45089285714285715,0.46297204512015694,0.4381443298969072,0.45597964376590333,0.43699731903485256,0.45690111052353255,0.4365079365079365,0.4554812146165723,0.4550930996714129,0.47910135841170326,0.43186695278969955,0.4711490215755143,0.4825247782994262,0.49111807732497387,0.46732215153267787,0.5063805104408353,0.5027322404371585,0.5146794487717196
operatingProfitMargin,0.07124446821961776,0.08229387712851302,0.048623113261896535,0.023503173786241206,0.035788501500808124,0.057308775222900045,0.0916493513786713,0.053791887125220456,0.06552962298025135,0.06280788177339902,0.10800508259212198,0.06057122110613579,0.07736161343713603,0.07302085376217558,0.10052136317395727,0.06834700273388011,0.07815953385573639,0.0862033690240742,-0.005239232606518222,0.06827880512091039,0.09130330040953986,0.09316719602573499,-0.0676077265973254,0.08210993513144418,0.08484797721752241,0.08447449503594659,0.09992398006588395,0.05672064419077958,0.07252477418223274,0.07211538461538461,0.0960209881941408,0.05806628321007943,0.06464391824975241,0.19810971089696072,0.21747819767441862,0.19538053767512306,0.20562954566921696,0.19722459842220322,0.21588324488248672,0.18068922694815276,0.19954318936877077,0.19488209791688696,0.21033092914722104,0.1881392943339846,0.20742205677059097,0.17954800849044825,0.19778400407539481,0.1810249477694482,0.2226881945900608,0.18696088264794383,0.9364484086762619,-0.06241390272332309,-0.04645011109935457,-0.040439178171540385,-0.018577204677084472,-0.06459497206703911,-0.03685861528120098,-0.04166179052077238,-0.023663762655992467,-0.055104335874047235,-0.04672435105067985,-0.0023355391202802647,0.024886584575502267,-0.0065404005995367215,0.00981728933733297,-0.01003584229390681,-0.002272404487998864,-0.02837347410095678,-0.014864864864864866,-0.035871285387726395,-0.004288164665523156,-0.05103697024346258,-0.02946885477324863,-0.05711662075298439,-0.030465288035450518,-0.08168957959752939,-0.06699123661148977,-0.06730196545562835,-0.07192662788181925,-0.07066388635151835,-0.03189203666412594,-0.04612286596288224,-0.2582888945672616,0.01700974556097898,-0.05631469218205975,-0.2733564814814815,0.8918539421964791,-0.3350819832129612,-0.25810130191010167,-0.2642138010435294,0.9204803323189497,0.023833416959357753,0.07863424728401448,0.009845998485231003,0.03763440860215054,0.05959684487291849,0.0391566265060241,0.08254200146092038,0.03076923076923077,0.06713780918727916,0.06074194863432532,0.07044534412955465,0.04200600085726532,0.07460788469690546,0.06409681757059614,0.08565121412803532,0.04092441020702937,0.0706880301602262,0.050595238095238096,0.06669936243256498,0.029896907216494847,0.05750636132315522,0.03753351206434316,0.05817028027498678,-0.13544973544973546,0.048378795676788475,0.04107338444687842,0.047021943573667714,-0.04774678111587983,0.06322127446061214,0.06729264475743349,0.06060606060606061,0.035858877964141125,0.07424593967517401,0.06557377049180328,0.07429598562013182
